1,A101 - Lobby,Main Building
2,A102 - Storage Room,Main Building
3,A103 - Cafeteria,Main Building
4,A201 - Cafeteria,Main Building
5,A202 - Office,Main Building
6,A203 - Office,Main Building
7,A301 - Cafeteria,Main Building
8,A302 - Conference room,Main Building
9,B101 - Lobby,Grace Hopper Building
10,B102 - Storage room A,Grace Hopper Building
11,B103 - Storage room B,Grace Hopper Building
12,B104 - Production Unit 1,Grace Hopper Building
13,B105 - Production Unit 2,Grace Hopper Building
14,B106 - Ship Room,Grace Hopper Building
15,B107 - Office,Grace Hopper Building
